Configurazione,alpha,Cd,CL,J
naca4412_wortmannfx082-512_naso,0.0,0.249199,-2.372053,1.0
naca4412_wortmannfx082-512_naso,0.010101010101010102,0.249199,-2.372053,0.9992581634050197
naca4412_wortmannfx082-512_naso,0.020202020202020204,0.249199,-2.372053,0.9985163268100393
naca4412_wortmannfx082-512_naso,0.030303030303030304,0.249199,-2.372053,0.997774490215059
naca4412_wortmannfx082-512_naso,0.04040404040404041,0.249199,-2.372053,0.9970326536200786
naca4412_wortmannfx082-512_naso,0.05050505050505051,0.249199,-2.372053,0.9962908170250984
naca4412_wortmannfx082-512_naso,0.06060606060606061,0.249199,-2.372053,0.9955489804301181
naca4412_wortmannfx082-512_naso,0.07070707070707072,0.249199,-2.372053,0.9948071438351377
naca4412_wortmannfx082-512_naso,0.08080808080808081,0.249199,-2.372053,0.9940653072401574
naca4412_wortmannfx082-512_naso,0.09090909090909091,0.249199,-2.372053,0.993323470645177
naca4412_wortmannfx082-512_naso,0.10101010101010102,0.249199,-2.372053,0.9925816340501967
naca4412_wortmannfx082-512_naso,0.11111111111111112,0.249199,-2.372053,0.9918397974552163
naca4412_wortmannfx082-512_naso,0.12121212121212122,0.249199,-2.372053,0.991097960860236
naca4412_wortmannfx082-512_naso,0.13131313131313133,0.249199,-2.372053,0.9903561242652558
naca4412_wortmannfx082-512_naso,0.14141414141414144,0.249199,-2.372053,0.9896142876702754
naca4412_wortmannfx082-512_naso,0.15151515151515152,0.249199,-2.372053,0.9888724510752951
naca4412_wortmannfx082-512_naso,0.16161616161616163,0.249199,-2.372053,0.9881306144803148
naca4412_wortmannfx082-512_naso,0.17171717171717174,0.249199,-2.372053,0.9873887778853345
naca4412_wortmannfx082-512_naso,0.18181818181818182,0.249199,-2.372053,0.986646941290354
naca4412_wortmannfx082-512_naso,0.19191919191919193,0.249199,-2.372053,0.9859051046953737
naca4412_wortmannfx082-512_naso,0.20202020202020204,0.249199,-2.372053,0.9851632681003935
naca4412_wortmannfx082-512_naso,0.21212121212121213,0.249199,-2.372053,0.9844214315054132
naca4412_wortmannfx082-512_naso,0.22222222222222224,0.249199,-2.372053,0.9836795949104329
naca4412_wortmannfx082-512_naso,0.23232323232323235,0.249199,-2.372053,0.9829377583154525
naca4412_wortmannfx082-512_naso,0.24242424242424243,0.249199,-2.372053,0.9821959217204721
naca4412_wortmannfx082-512_naso,0.25252525252525254,0.249199,-2.372053,0.9814540851254918
naca4412_wortmannfx082-512_naso,0.26262626262626265,0.249199,-2.372053,0.9807122485305115
naca4412_wortmannfx082-512_naso,0.27272727272727276,0.249199,-2.372053,0.9799704119355312
naca4412_wortmannfx082-512_naso,0.2828282828282829,0.249199,-2.372053,0.9792285753405509
naca4412_wortmannfx082-512_naso,0.29292929292929293,0.249199,-2.372053,0.9784867387455705
naca4412_wortmannfx082-512_naso,0.30303030303030304,0.249199,-2.372053,0.9777449021505902
naca4412_wortmannfx082-512_naso,0.31313131313131315,0.249199,-2.372053,0.9770030655556099
naca4412_wortmannfx082-512_naso,0.32323232323232326,0.249199,-2.372053,0.9762612289606295
naca4412_wortmannfx082-512_naso,0.33333333333333337,0.249199,-2.372053,0.9755193923656492
naca4412_wortmannfx082-512_naso,0.3434343434343435,0.249199,-2.372053,0.9747775557706689
naca4412_wortmannfx082-512_naso,0.3535353535353536,0.249199,-2.372053,0.9740357191756885
naca4412_wortmannfx082-512_naso,0.36363636363636365,0.249199,-2.372053,0.9732938825807083
naca4412_wortmannfx082-512_naso,0.37373737373737376,0.249199,-2.372053,0.972552045985728
naca4412_wortmannfx082-512_naso,0.38383838383838387,0.249199,-2.372053,0.9718102093907476
naca4412_wortmannfx082-512_naso,0.393939393939394,0.249199,-2.372053,0.9710683727957672
naca4412_wortmannfx082-512_naso,0.4040404040404041,0.249199,-2.372053,0.9703265362007869
naca4412_eppler61_naso,0.4141414141414142,0.256611,-2.476482,0.9699925102730715
naca4412_eppler61_naso,0.42424242424242425,0.256611,-2.476482,0.9705098807856047
naca4412_eppler61_naso,0.43434343434343436,0.256611,-2.476482,0.971027251298138
naca4412_eppler61_naso,0.4444444444444445,0.256611,-2.476482,0.9715446218106714
naca4412_eppler61_naso,0.4545454545454546,0.256611,-2.476482,0.9720619923232044
naca4412_eppler61_naso,0.4646464646464647,0.256611,-2.476482,0.9725793628357378
naca4412_eppler61_naso,0.4747474747474748,0.256611,-2.476482,0.973096733348271
naca4412_eppler61_naso,0.48484848484848486,0.256611,-2.476482,0.9736141038608043
naca4412_eppler61_naso,0.494949494949495,0.256611,-2.476482,0.9741314743733375
naca4412_eppler61_naso,0.5050505050505051,0.256611,-2.476482,0.9746488448858708
naca4412_eppler61_naso,0.5151515151515152,0.256611,-2.476482,0.975166215398404
naca4412_eppler61_naso,0.5252525252525253,0.256611,-2.476482,0.9756835859109372
naca4412_eppler61_naso,0.5353535353535354,0.256611,-2.476482,0.9762009564234705
naca4412_eppler61_naso,0.5454545454545455,0.256611,-2.476482,0.9767183269360038
naca4412_eppler61_naso,0.5555555555555556,0.256611,-2.476482,0.977235697448537
naca4412_eppler61_naso,0.5656565656565657,0.256611,-2.476482,0.9777530679610702
naca4412_eppler61_naso,0.5757575757575758,0.256611,-2.476482,0.9782704384736035
naca4412_eppler61_naso,0.5858585858585859,0.256611,-2.476482,0.9787878089861368
naca4412_eppler61_naso,0.595959595959596,0.256611,-2.476482,0.97930517949867
naca4412_eppler61_naso,0.6060606060606061,0.256611,-2.476482,0.9798225500112032
